feature#	feature	Visual	Perceptual	Functional	Motoric
511	laugh	0	0	1	0
512	lay	0	0	0	1
513	layer	1	0	0	0
514	lead	1	0	1	0
515	leader	0	0	0	0
516	leaf	1	0	0	0
517	learn	0	0	1	0
518	leather	0	0	0	0
519	leave	0	0	0	1
520	leg	1	0	0	1
521	lend	0	0	0	0
522	let-go	0	0	0	1
523	letter	0	0	0	0
524	life	0	0	0	0
525	lift	0	0	1	1
526	light	1	1	0	0
527	limb	1	0	0	0
528	lip	1	0	0	0
529	liquid	0	0	0	0
530	listen	0	1	0	0
531	live	0	0	0	0
532	living	0	0	0	0
533	living-room	0	0	0	0
534	locate	0	1	1	0
535	location	0	0	0	0
536	lock	1	0	1	1
537	long	1	1	0	0
538	look	1	0	1	0
539	loosen	0	0	1	0
540	lose	0	0	0	0
541	loud	0	1	0	0
542	love	0	0	0	0
543	low	1	1	0	0
544	low-pitched	0	1	0	0
545	lung	0	0	0	1
546	machine	0	0	0	0
547	mail	0	0	0	0
548	make	0	0	1	0
549	mammal	0	0	0	0
550	mane	1	0	0	0
551	manmade	0	0	0	0
552	mark	1	0	0	1
553	material	0	0	0	0
554	mean	0	0	0	0
555	meat	0	1	1	1
556	medical	0	0	0	0
557	men	0	0	0	0
558	meow	0	1	0	1
559	mess	0	0	0	0
560	message	0	0	0	0
561	metal	0	0	0	0
562	middle	0	0	0	0
563	military	0	0	0	0
564	milk	0	0	1	0
565	misplace	0	0	0	1
566	mist	1	0	0	0
567	mix	0	0	1	1
568	monkey	0	0	0	0
569	motionless	0	0	0	1
570	motor	1	0	0	1
571	mountain	0	0	0	0
572	mouth	1	0	0	1
573	move	1	0	0	1
574	movie	0	0	0	0
575	mud	1	0	0	0
576	murder	0	0	1	0
577	muscle	0	0	0	1
578	music	0	1	1	0
579	mystery	0	0	0	0
580	nail	1	0	0	0
581	narrow	1	0	0	1
582	nature	0	0	0	0
583	near	1	0	0	0
584	neck	1	0	0	0
585	need	0	0	0	0
586	needle	0	0	0	0
587	nervous	0	1	0	0
588	nest	0	0	0	0
589	new	0	0	0	0
590	nice	0	0	0	0
591	night	0	0	0	0
592	noise	0	1	0	0
593	no-oxygen	0	0	0	0
594	nose	1	0	0	1
595	nostril	1	0	0	0
596	note	0	0	0	0
597	nothing	0	0	0	0
598	notice	1	1	0	0
599	not-live	0	0	0	0
600	not-own	0	0	0	0
601	noun	0	0	0	0
602	nutrition	0	0	1	0
603	object	0	0	0	0
604	obnoxious	0	0	0	0
605	observe	1	1	1	0
606	obtain	0	0	1	0
607	ocean	0	0	0	0
608	odor	0	1	0	0
609	off	1	0	0	0
610	oil	0	0	0	0
611	on	1	0	0	0
612	open	1	0	1	1
613	opinion	0	0	0	0
614	oppose	1	0	1	0
615	opposite-win	0	0	0	0
616	orange	1	0	0	0
617	order	0	0	1	0
618	organize	0	0	1	0
619	out	1	0	0	1
620	out-of-control	0	0	0	1
621	outside	0	0	0	0
622	oven	0	0	0	0
623	over	0	0	0	0
624	own	0	0	1	0
625	oxygen	0	0	0	0
626	pad	1	0	0	0
627	pain	0	1	0	0
628	paint	1	0	1	0
629	pair	0	0	0	0
630	palm	1	0	0	0
631	pan	0	0	0	0
632	pants	0	0	0	0
633	paper	0	0	0	0
634	part	1	0	0	0
635	party	0	0	0	0
636	passage	0	0	0	0
637	passenger	0	0	0	0
638	passive	0	0	0	1
639	pause	0	0	0	1
640	paw	1	0	0	0
641	pedal	1	0	0	1
642	peel	0	0	0	1
643	pen	0	0	0	0
644	pencil	0	0	0	0
645	perceive	1	1	1	0
646	permanent	0	0	0	0
647	pet	0	0	0	0
648	physical	0	1	0	1
649	pick	0	0	0	1
650	pick-up	1	1	1	1
651	picket	0	0	0	0
652	pick-up	1	1	1	1
653	picture	0	0	0	0
654	pie	0	0	1	0
655	piece	0	0	0	0
656	pierce	0	1	0	1
657	pig	0	0	0	0
658	pile	0	0	1	0
659	pink	1	0	0	0
660	pit	1	0	0	0
661	pitch	0	1	0	0
662	place	0	0	1	0
663	plane	0	0	0	0
664	plant	0	0	1	0
665	plastic	0	0	0	0
666	play	0	0	1	0
667	pleasant	0	0	0	0
668	pluck	0	0	1	0
669	pod	1	0	0	0
670	point	1	0	1	1
671	poison	0	0	0	0
672	polite	0	0	0	0
673	pop	0	1	1	1
674	popeye	0	0	0	0
675	position	1	0	1	1
676	possess	0	0	1	0
677	pot	0	0	0	0
678	pound	0	1	1	1
679	pour	0	0	0	1
680	power	0	0	0	0
681	predator	0	0	0	0
682	prepare	0	0	1	0
683	present	0	0	0	0
684	press	0	0	0	1
685	pretty	0	0	0	0
686	prevent	0	0	1	0
687	private	0	0	0	0
688	process	0	0	0	0
689	produce	0	0	1	0
690	project	0	1	1	0
691	prong	1	0	0	0
692	propel	0	0	1	1
693	propeller	1	0	0	0
694	protect	0	0	1	0
695	pull	0	0	1	1
696	punch	0	0	0	1
697	puncture	0	0	1	0
698	punish	0	0	1	0
699	purchase	0	0	0	0
700	purple	1	0	0	0
701	purpose	0	0	1	0
702	purr	0	1	0	0
703	push	0	0	0	1
704	put	0	0	0	1
705	put-together	0	0	1	0
706	quack	0	1	0	1
707	question	0	0	0	0
708	quiet	0	1	0	0
709	rabbit	0	0	0	0
710	race	0	0	1	1
711	rail	0	0	0	0
712	rain	0	0	0	0
713	raise	1	1	0	1
714	raw	0	0	0	0
715	razor	0	0	0	0
716	reach	1	0	1	1
717	react	0	1	0	1
718	read	1	0	1	0
719	receive	0	1	0	1
720	recognize	1	1	1	0
721	rectangle	1	0	0	0
722	red	1	0	0	0
723	reflect	1	0	0	1
724	reflex	0	1	0	1
725	relax	0	0	1	1
726	release	0	0	1	1
727	relief	0	1	1	0
728	relieve	0	1	1	0
729	remain	0	0	0	1
730	remove	0	0	1	0
731	repair	0	0	1	0
732	repeat	0	1	0	1
733	request	0	0	0	0
734	require	0	0	0	0
735	respond	1	1	0	1
736	rest	0	0	1	1
737	return	0	0	0	1
738	rhythm	0	1	0	1
739	rid	0	0	1	0
740	ride	0	0	1	1
741	ring	0	1	0	0
742	rise	0	0	0	1
743	risk	0	0	0	0
744	river	0	0	0	0
745	rodent	0	0	0	0
746	room	0	0	0	0
747	root	1	0	0	0
748	rotate	0	0	0	1
749	rough	0	1	0	0
750	round	1	0	1	1
751	rubber	0	0	0	0
