file,player,turnID,turnType,turnStart,turnEnd,turnLength,modality,signalStart,signalEnd,signalLength, signalType
/Cod - Ex5.eaf,2,45,"Request",207528,211248,3720,Visual Signs ,207528,211248,3720,"S"
/Cod - Ex5.eaf,2,46,"Request",183498,187578,4080,Visual Signs ,183498,187578,4080,"S"
/Cod - Ex5.eaf,2,47,"Request",59938,65678,5740,Visual Signs ,59938,65678,5740,"C"
/Cod - Ex5.eaf,2,48,"Req",662549,665465,2916,Visual Signs ,662549,665465,2916,"S"
/Cod - Ex5.eaf,2,49,"Req",640199,642249,2050,Visual Signs ,640199,642249,2050,"S"
/Cod - Ex5.eaf,2,50,"Req",260418,264618,4200,Visual Signs ,260418,264618,4200,"S"
/Cod - Ex5.eaf,2,51,"Req",598516,601266,2750,Visual Signs ,598516,601266,2750,"S"
/Cod - Ex5.eaf,2,52,"Req",579632,581915,2283,Visual Signs ,579632,581915,2283,"C"
/Cod - Ex5.eaf,2,53,"Req",551416,553382,1966,Visual Signs ,551416,553382,1966,"S"
/Cod - Ex5.eaf,2,54,"Req",235418,237658,2240,Visual Signs ,235418,237658,2240,"S"
/Cod - Ex5.eaf,2,55,"Req",501965,504915,2950,Visual Signs ,501965,504915,2950,"S"
/Cod - Ex5.eaf,2,56,"Req",476966,479966,3000,Visual Signs ,476966,479966,3000,"S"
/Cod - Ex5.eaf,2,57,"Req",758182,760465,2283,Visual Signs ,758182,760465,2283,"C"
/Cod - Ex5.eaf,2,58,"Req",776382,778049,1667,Visual Signs ,776382,778049,1667,"S"
/Cod - Ex5.eaf,2,59,"Req",712016,715249,3233,Visual Signs ,712016,715249,3233,"C"
/Cod - Ex5.eaf,2,60,"Req",730482,733416,2934,Visual Signs ,730482,733416,2934,"S"
/Cod - Ex5.eaf,2,61,"Req",837382,840632,3250,Visual Signs ,837382,840632,3250,"S"
/Cod - Ex5.eaf,2,62,"Req",856849,859816,2967,Visual Signs ,856849,859816,2967,"S"
/Cod - Ex5.eaf,2,63,"Req",795266,797816,2550,Visual Signs ,795266,797816,2550,"S"
/Cod - Ex5.eaf,2,64,"Req",815208,817158,1950,Visual Signs ,815208,817158,1950,"S"
/Cod - Ex5.eaf,2,65,"Req",533999,536049,2050,Visual Signs ,533999,536049,2050,"S"
