"X","filename","dyadNumber","condition","game","trial","target","choice","correct","trialStart","trialEnd","trialValue","startOfNextTrial","signallingPlayer","role","turnNumber","turnType","turnStart","turnEnd","turnLength","modality","signalStart","signalEnd","signalLength","signalType","trialString","modalityCondition","playerId","itemId","turnString","trialLength","T1.propAc","T2.propAc","T3Plus.propAc","T4Plus.propAc","Director.propAc","Matcher.propAc"
384,"D12_TT_Coded.eaf","D12","Auditory",0,12,8,8,TRUE,306949,312828,"Ga0 Tu12 Ta8 {1 *8* 6} Ch8",315584,1,"Director",1,"T1",310053,312621,2568,"Visual",310053,312621,2568,"X","Auditory D12 0 12","multi","D12 1","Auditory 8","Auditory multi D12 310053 312621",2775,0,NA,NA,0,0,NA
385,"D12_TT_Coded.eaf","D12","Auditory",0,13,6,6,TRUE,315584,332391,"Ga0 Tu13 Ta6 {*6* 7 8} Ch6",334610,2,"Director",1,"T1",317431,320404,2973,"Visual",317431,320404,2973,"X","Auditory D12 0 13","multi","D12 2","Auditory 6","Auditory multi D12 317431 320404",14960,0,0,0,0,0,0
389,"D12_TT_Coded.eaf","D12","Auditory",0,14,1,1,TRUE,334610,338811,"Ga0 Tu14 Ta1 {*1* 7 2} Ch1",341383,1,"Director",1,"T1",335823,339621,3798,"Visual",335823,339621,3798,"X","Auditory D12 0 14","multi","D12 1","Auditory 1","Auditory multi D12 335823 339621",2988,0,NA,NA,0,0,NA
390,"D12_TT_Coded.eaf","D12","Auditory",0,15,5,5,TRUE,341383,349782,"Ga0 Tu15 Ta5 {2 3 *5*} Ch5",363050,2,"Director",1,"T1",342026,343215,1189,"Visual",342026,343215,1189,"X","Auditory D12 0 15","multi","D12 2","Auditory 5","Auditory multi D12 342026 343215",7756,0,NA,NA,0,0,NA
391,"D12_TT_Coded.eaf","D12","Auditory",1,0,7,7,TRUE,363050,375930,"Ga1 Tu0 Ta7 {*7* 2 3} Ch7",381638,1,"Director",1,"T1",365012,378053,13041,"Visual",365012,367621,2609,"X","Auditory D12 1 0","multi","D12 1","Auditory 7","Auditory multi D12 365012 378053",10918,0.353920515574651,NA,NA,0.353920515574651,0.353920515574651,NA
395,"D12_TT_Coded.eaf","D12","Auditory",1,1,1,1,TRUE,381638,387093,"Ga1 Tu1 Ta1 {6 4 *1*} Ch1",388578,2,"Director",1,"T1",382026,384824,2798,"Visual",382026,384824,2798,"X","Auditory D12 1 1","multi","D12 2","Auditory 1","Auditory multi D12 382026 384824",5067,0,NA,NA,0,0,NA
396,"D12_TT_Coded.eaf","D12","Auditory",1,2,3,3,TRUE,388578,396369,"Ga1 Tu2 Ta3 {4 5 *3*} Ch3",399700,1,"Director",1,"T1",391026,394499,3473,"Visual",391026,394499,3473,"X","Auditory D12 1 2","multi","D12 1","Auditory 3","Auditory multi D12 391026 394499",5343,0.410456628755729,NA,NA,0.410456628755729,0.410456628755729,NA
398,"D12_TT_Coded.eaf","D12","Auditory",1,3,8,8,TRUE,399700,404308,"Ga1 Tu3 Ta8 {5 *8* 3} Ch8",406009,2,"Director",1,"T1",399621,401621,2000,"Visual",399621,401621,2000,"X","Auditory D12 1 3","multi","D12 2","Auditory 8","Auditory multi D12 399621 401621",4687,0,NA,NA,0,0,NA
399,"D12_TT_Coded.eaf","D12","Auditory",1,4,5,5,TRUE,406009,419241,"Ga1 Tu4 Ta5 {7 *5* 6} Ch5",422876,1,"Director",1,"T1",407796,417634,9838,"Visual",407782,410418,2636,"X","Auditory D12 1 4","multi","D12 1","Auditory 5","Auditory multi D12 407796 417634",11445,0.0952762209767814,NA,NA,0.0952762209767814,0.0952762209767814,NA
403,"D12_TT_Coded.eaf","D12","Auditory",1,5,4,4,TRUE,422876,427740,"Ga1 Tu5 Ta4 {*4* 7 1} Ch4",429120,2,"Director",1,"T1",423621,424823,1202,"Visual",423621,424823,1202,"X","Auditory D12 1 5","multi","D12 2","Auditory 4","Auditory multi D12 423621 424823",4119,0,NA,NA,0,0,NA
404,"D12_TT_Coded.eaf","D12","Auditory",1,6,6,6,TRUE,429120,444000,"Ga1 Tu6 Ta6 {2 *6* 8} Ch6",444651,1,"Director",1,"T1",437405,441026,3621,"Acoustic",437405,441026,3621,"X","Auditory D12 1 6","multi","D12 1","Auditory 6","Auditory multi D12 437405 441026",6595,1,NA,NA,1,1,NA
405,"D12_TT_Coded.eaf","D12","Auditory",1,7,2,2,TRUE,444651,453530,"Ga1 Tu7 Ta2 {*2* 1 4} Ch2",454448,2,"Director",1,"T1",449215,453026,3811,"Visual",449215,453026,3811,"X","Auditory D12 1 7","multi","D12 2","Auditory 2","Auditory multi D12 449215 453026",4315,0,NA,NA,0,0,NA
406,"D12_TT_Coded.eaf","D12","Auditory",1,8,1,1,TRUE,454448,462391,"Ga1 Tu8 Ta1 {*1* 7 2} Ch1",466176,1,"Director",1,"T1",459405,462000,2595,"Visual",459405,462000,2595,"X","Auditory D12 1 8","multi","D12 1","Auditory 1","Auditory multi D12 459405 462000",44072,0.385472320109128,NA,NA,0.385472320109128,0.385472320109128,NA
410,"D12_TT_Coded.eaf","D12","Auditory",1,9,5,5,TRUE,509401,530736,"Ga1 Tu9 Ta5 {2 3 *5*} Ch5",532061,2,"Director",1,"T1",527216,528608,1392,"Visual",527216,528608,1392,"X","Auditory D12 1 9","multi","D12 2","Auditory 5","Auditory multi D12 527216 528608",3520,0,NA,NA,0,0,NA
411,"D12_TT_Coded.eaf","D12","Auditory",1,10,2,2,TRUE,532061,539285,"Ga1 Tu10 Ta2 {5 1 *2*} Ch2",539847,1,"Director",1,"T1",533621,535823,2202,"Visual",533621,535823,2202,"X","Auditory D12 1 10","multi","D12 1","Auditory 2","Auditory multi D12 533621 535823",5664,0,NA,NA,0,0,NA
412,"D12_TT_Coded.eaf","D12","Auditory",1,11,3,3,TRUE,539847,551544,"Ga1 Tu11 Ta3 {8 *3* 4} Ch3",552420,2,"Director",1,"T1",545215,550229,5014,"Visual",545215,550229,5014,"X","Auditory D12 1 11","multi","D12 2","Auditory 3","Auditory multi D12 545215 550229",6329,0,NA,NA,0,0,NA
413,"D12_TT_Coded.eaf","D12","Auditory",1,12,8,8,TRUE,552420,558828,"Ga1 Tu12 Ta8 {1 *8* 6} Ch8",562958,1,"Director",1,"T1",554837,557026,2189,"Acoustic",554837,557026,2189,"X","Auditory D12 1 12","multi","D12 1","Auditory 8","Auditory multi D12 554837 557026",3991,0.5,NA,NA,0.5,0.5,NA
415,"D12_TT_Coded.eaf","D12","Auditory",1,13,6,6,TRUE,562958,573494,"Ga1 Tu13 Ta6 {*6* 7 8} Ch6",575163,2,"Director",1,"T1",564026,566620,2594,"Visual",564026,566620,2594,"X","Auditory D12 1 13","multi","D12 2","Auditory 6","Auditory multi D12 564026 566620",9468,0,NA,NA,0,0,NA
416,"D12_TT_Coded.eaf","D12","Auditory",1,14,4,5,FALSE,575163,585107,"Ga1 Tu14 Ta4 {6 *5* 4} Ch5",583757,1,"Director",1,"T1",578418,580026,1608,"Visual",578418,580026,1608,"X","Auditory D12 1 14","multi","D12 1","Auditory 4","Auditory multi D12 578418 580026",6689,0.112092766427388,NA,NA,0.112092766427388,0.112092766427388,NA
418,"D12_TT_Coded.eaf","D12","Auditory",1,15,7,7,TRUE,583757,595381,"Ga1 Tu15 Ta7 {8 *7* 3} Ch7",601754,2,"Director",1,"T1",591229,593837,2608,"Visual",591229,593837,2608,"X","Auditory D12 1 15","multi","D12 2","Auditory 7","Auditory multi D12 591229 593837",4152,0,NA,NA,0,0,NA
419,"D12_TT_Coded.eaf","D12","Auditory",2,0,8,8,TRUE,601754,627850,"Ga2 Tu0 Ta8 {1 *8* 6} Ch8",628843,1,"Director",1,"T1",624620,627620,3000,"Visual",624620,627620,3000,"X","Auditory D12 2 0","multi","D12 1","Auditory 8","Auditory multi D12 624620 627620",3230,0,NA,NA,0,0,NA
420,"D12_TT_Coded.eaf","D12","Auditory",2,1,6,6,TRUE,628843,632884,"Ga2 Tu1 Ta6 {*6* 7 8} Ch6",635082,2,"Director",1,"T1",630621,632621,2000,"Visual",630621,632621,2000,"X","Auditory D12 2 1","multi","D12 2","Auditory 6","Auditory multi D12 630621 632621",2263,0,NA,NA,0,0,NA
421,"D12_TT_Coded.eaf","D12","Auditory",2,2,5,6,FALSE,635082,655641,"Ga2 Tu2 Ta5 {7 5 *6*} Ch6",658266,1,"Director",1,"T1",640013,648243,8230,"Acoustic",640013,641026,1013,"X","Auditory D12 2 2","multi","D12 1","Auditory 5","Auditory multi D12 640013 648243",15628,0.444035853826707,NA,NA,0.444035853826707,0.444035853826707,NA
427,"D12_TT_Coded.eaf","D12","Auditory",2,3,4,4,TRUE,658266,663746,"Ga2 Tu3 Ta4 {*4* 7 1} Ch4",663305,2,"Director",1,"T1",658202,659824,1622,"Visual",658202,659824,1622,"X","Auditory D12 2 3","multi","D12 2","Auditory 4","Auditory multi D12 658202 659824",5544,0,NA,NA,0,0,NA
428,"D12_TT_Coded.eaf","D12","Auditory",2,4,2,2,TRUE,663305,697832,"Ga2 Tu4 Ta2 {5 1 *2*} Ch2",703961,1,"Director",1,"T1",673621,697039,23418,"Visual",673607,676823,3216,"X","Auditory D12 2 4","multi","D12 1","Auditory 2","Auditory multi D12 673621 697039",24211,0,NA,NA,0,0,NA
431,"D12_TT_Coded.eaf","D12","Auditory",2,5,3,3,TRUE,703961,708112,"Ga2 Tu5 Ta3 {8 *3* 4} Ch3",707992,2,"Director",1,"T1",702620,704634,2014,"Visual",702620,704634,2014,"X","Auditory D12 2 5","multi","D12 2","Auditory 3","Auditory multi D12 702620 704634",5492,0,NA,NA,0,0,NA
432,"D12_TT_Coded.eaf","D12","Auditory",2,6,6,6,TRUE,707992,724687,"Ga2 Tu6 Ta6 {2 *6* 8} Ch6",727984,1,"Director",1,"T1",712608,721013,8405,"Visual",712620,715418,2798,"X","Auditory D12 2 6","multi","D12 1","Auditory 6","Auditory multi D12 712608 721013",12079,0,0,NA,0,0,0
435,"D12_TT_Coded.eaf","D12","Auditory",2,7,2,2,TRUE,727984,735168,"Ga2 Tu7 Ta2 {*2* 1 4} Ch2",734110,2,"Director",1,"T1",727810,730620,2810,"Visual",727810,730620,2810,"X","Auditory D12 2 7","multi","D12 2","Auditory 2","Auditory multi D12 727810 730620",7358,0,NA,NA,0,0,NA
436,"D12_TT_Coded.eaf","D12","Auditory",2,8,4,5,FALSE,734110,740670,"Ga2 Tu8 Ta4 {6 *5* 4} Ch5",742700,1,"Director",1,"T1",737418,738418,1000,"Visual",737418,738418,1000,"X","Auditory D12 2 8","multi","D12 1","Auditory 4","Auditory multi D12 737418 738418",3252,0,NA,NA,0,0,NA
437,"D12_TT_Coded.eaf","D12","Auditory",2,9,7,3,FALSE,742700,751783,"Ga2 Tu9 Ta7 {8 7 *3*} Ch3",754094,2,"Director",1,"T1",743621,746432,2811,"Visual",743621,746432,2811,"X","Auditory D12 2 9","multi","D12 2","Auditory 7","Auditory multi D12 743621 746432",8162,0,NA,NA,0,0,NA
438,"D12_TT_Coded.eaf","D12","Auditory",2,10,3,3,TRUE,754094,759126,"Ga2 Tu10 Ta3 {4 5 *3*} Ch3",759871,1,"Director",1,"T1",755621,758216,2595,"Acoustic",755621,758216,2595,"X","Auditory D12 2 10","multi","D12 1","Auditory 3","Auditory multi D12 755621 758216",3505,1,NA,NA,1,1,NA
439,"D12_TT_Coded.eaf","D12","Auditory",2,11,8,8,TRUE,759871,765758,"Ga2 Tu11 Ta8 {5 *8* 3} Ch8",767526,2,"Director",1,"T1",761594,764026,2432,"Visual",761594,764026,2432,"X","Auditory D12 2 11","multi","D12 2","Auditory 8","Auditory multi D12 761594 764026",4164,0,NA,NA,0,0,NA
440,"D12_TT_Coded.eaf","D12","Auditory",2,12,1,1,TRUE,767526,777614,"Ga2 Tu12 Ta1 {*1* 7 2} Ch1",783598,1,"Director",1,"T1",771228,773620,2392,"Acoustic",771215,773431,2216,"X","Auditory D12 2 12","multi","D12 1","Auditory 1","Auditory multi D12 771228 773620",6386,0.52561669829222,0,0.583645263460985,0.551827285732865,0.551827285732865,0
445,"D12_TT_Coded.eaf","D12","Auditory",2,13,5,5,TRUE,783598,788638,"Ga2 Tu13 Ta5 {2 3 *5*} Ch5",787925,2,"Director",1,"T1",783189,784202,1013,"Visual",783189,784202,1013,"X","Auditory D12 2 13","multi","D12 2","Auditory 5","Auditory multi D12 783189 784202",5449,0,NA,NA,0,0,NA
446,"D12_TT_Coded.eaf","D12","Auditory",2,14,7,7,TRUE,787925,795941,"Ga2 Tu14 Ta7 {*7* 2 3} Ch7",800589,1,"Director",1,"T1",793201,795228,2027,"Visual",793201,795228,2027,"X","Auditory D12 2 14","multi","D12 1","Auditory 7","Auditory multi D12 793201 795228",2740,0,NA,NA,0,0,NA
447,"D12_TT_Coded.eaf","D12","Auditory",3,0,3,3,TRUE,812756,819204,"Ga3 Tu0 Ta3 {4 5 *3*} Ch3",821468,1,"Director",1,"T1",813824,818216,4392,"Acoustic",813810,814621,811,"X","Auditory D12 3 0","multi","D12 1","Auditory 3","Auditory multi D12 813824 818216",5380,0.357142857142857,NA,NA,0.357142857142857,0.357142857142857,NA
451,"D12_TT_Coded.eaf","D12","Auditory",3,1,8,8,TRUE,821468,825052,"Ga3 Tu1 Ta8 {5 *8* 3} Ch8",828580,2,"Director",1,"T1",820999,822634,1635,"Visual",820999,822634,1635,"X","Auditory D12 3 1","multi","D12 2","Auditory 8","Auditory multi D12 820999 822634",4053,0,NA,NA,0,0,NA
452,"D12_TT_Coded.eaf","D12","Auditory",3,2,4,5,FALSE,828580,833875,"Ga3 Tu2 Ta4 {6 *5* 4} Ch5",833420,1,"Director",1,"T1",828039,831039,3000,"Visual",828039,829026,987,"X","Auditory D12 3 2","multi","D12 1","Auditory 4","Auditory multi D12 828039 831039",5836,0,NA,NA,0,0,NA
454,"D12_TT_Coded.eaf","D12","Auditory",3,3,7,7,TRUE,833420,839228,"Ga3 Tu3 Ta7 {8 *7* 3} Ch7",840619,2,"Director",1,"T1",836621,838621,2000,"Visual",836621,838621,2000,"X","Auditory D12 3 3","multi","D12 2","Auditory 7","Auditory multi D12 836621 838621",2607,0,NA,NA,0,0,NA
455,"D12_TT_Coded.eaf","D12","Auditory",3,4,6,6,TRUE,840619,855619,"Ga3 Tu4 Ta6 {2 *6* 8} Ch6",850379,1,"Director",1,"T1",841608,845608,4000,"Visual",841608,845608,4000,"X","Auditory D12 3 4","multi","D12 1","Auditory 6","Auditory multi D12 841608 845608",14011,0.486125385405961,0,NA,0.486125385405961,0.486125385405961,0
458,"D12_TT_Coded.eaf","D12","Auditory",3,5,2,2,TRUE,856963,885930,"Ga3 Tu5 Ta2 {*2* 1 4} Ch2",888746,2,"Director",1,"T1",882013,885405,3392,"Visual",882013,885405,3392,"X","Auditory D12 3 5","multi","D12 2","Auditory 2","Auditory multi D12 882013 885405",3917,0,NA,NA,0,0,NA
459,"D12_TT_Coded.eaf","D12","Auditory",3,6,8,8,TRUE,888746,896353,"Ga3 Tu6 Ta8 {1 *8* 6} Ch8",901121,1,"Director",1,"T1",887418,889621,2203,"Visual",887418,889621,2203,"X","Auditory D12 3 6","multi","D12 1","Auditory 8","Auditory multi D12 887418 889621",8935,0,NA,NA,0,0,NA
460,"D12_TT_Coded.eaf","D12","Auditory",3,7,3,3,TRUE,901121,907970,"Ga3 Tu7 Ta3 {8 *3* 4} Ch3",909561,2,"Director",1,"T1",904012,906418,2406,"Visual",904012,906418,2406,"X","Auditory D12 3 7","multi","D12 2","Auditory 3","Auditory multi D12 904012 906418",3958,0,NA,NA,0,0,NA
461,"D12_TT_Coded.eaf","D12","Auditory",3,8,2,2,TRUE,909561,926721,"Ga3 Tu8 Ta2 {5 1 *2*} Ch2",927552,1,"Director",1,"T1",912607,922620,10013,"Visual",912594,915229,2635,"X","Auditory D12 3 8","multi","D12 1","Auditory 2","Auditory multi D12 912607 922620",14114,0.300615934830121,NA,NA,0.300615934830121,0.300615934830121,NA
465,"D12_TT_Coded.eaf","D12","Auditory",3,9,6,6,TRUE,927552,934624,"Ga3 Tu9 Ta6 {*6* 7 8} Ch6",935649,2,"Director",1,"T1",930432,934229,3797,"Visual",930432,934229,3797,"X","Auditory D12 3 9","multi","D12 2","Auditory 6","Auditory multi D12 930432 934229",4192,0,NA,NA,0,0,NA
466,"D12_TT_Coded.eaf","D12","Auditory",3,10,5,5,TRUE,935649,985664,"Ga3 Tu10 Ta5 {7 *5* 6} Ch5",989030,1,"Director",1,"T1",937215,938418,1203,"Visual",937215,938418,1203,"X","Auditory D12 3 10","multi","D12 1","Auditory 5","Auditory multi D12 937215 938418",48449,0.319076357911309,0,0.250428816466552,0.271264733991717,0.271264733991717,0
483,"D12_TT_Coded.eaf","D12","Auditory",3,11,4,4,TRUE,989030,991373,"Ga3 Tu11 Ta4 {*4* 7 1} Ch4",992209,2,"Director",1,"T1",988418,989621,1203,"Visual",988418,989621,1203,"X","Auditory D12 3 11","multi","D12 2","Auditory 4","Auditory multi D12 988418 989621",2955,0,NA,NA,0,0,NA
484,"D12_TT_Coded.eaf","D12","Auditory",3,12,1,1,TRUE,992209,997527,"Ga3 Tu12 Ta1 {*1* 7 2} Ch1",998093,1,"Director",1,"T1",994215,996431,2216,"Visual",994215,996431,2216,"X","Auditory D12 3 12","multi","D12 1","Auditory 1","Auditory multi D12 994215 996431",3312,0.390371389270977,NA,NA,0.390371389270977,0.390371389270977,NA
486,"D12_TT_Coded.eaf","D12","Auditory",3,13,5,5,TRUE,998093,1003621,"Ga3 Tu13 Ta5 {2 3 *5*} Ch5",1004919,2,"Director",1,"T1",1000405,1001418,1013,"Visual",1000405,1001418,1013,"X","Auditory D12 3 13","multi","D12 2","Auditory 5","Auditory multi D12 1000405 1001418",3216,0,NA,NA,0,0,NA
487,"D12_TT_Coded.eaf","D12","Auditory",3,14,7,7,TRUE,1004919,1010982,"Ga3 Tu14 Ta7 {*7* 2 3} Ch7",1011285,1,"Director",1,"T1",1006215,1007810,1595,"Visual",1006215,1007810,1595,"X","Auditory D12 3 14","multi","D12 1","Auditory 7","Auditory multi D12 1006215 1007810",4767,0,0,NA,0,0,0
489,"D12_TT_Coded.eaf","D12","Auditory",3,15,1,1,TRUE,1011285,1016189,"Ga3 Tu15 Ta1 {6 4 *1*} Ch1",1016189,2,"Director",1,"T1",1013228,1015823,2595,"Visual",1013228,1015823,2595,"X","Auditory D12 3 15","multi","D12 2","Auditory 1","Auditory multi D12 1013228 1015823",2961,0,NA,NA,0,0,NA
490,"D12_TT_Coded.eaf","D12","Visual",0,0,2,2,TRUE,1088996,1097259,"Ga0 Tu0 Ta2 {5 1 *2*} Ch2",1098026,1,"Director",1,"T1",1091621,1096202,4581,"Visual",1091621,1096202,4581,"X","Visual D12 0 0","multi","D12 1","Visual 2","Visual multi D12 1091621 1096202",5638,0,NA,NA,0,0,NA
491,"D12_TT_Coded.eaf","D12","Visual",0,1,3,3,TRUE,1098026,1178312,"Ga0 Tu1 Ta3 {8 *3* 4} Ch3",1180320,2,"Director",1,"T1",1098809,1102823,4014,"Visual",1098809,1102823,4014,"X","Visual D12 0 1","multi","D12 2","Visual 3","Visual multi D12 1098809 1102823",79503,0,0,0,0,0,0
503,"D12_TT_Coded.eaf","D12","Visual",0,2,7,7,TRUE,1180320,1216287,"Ga0 Tu2 Ta7 {*7* 2 3} Ch7",1217053,1,"Director",1,"T1",1182000,1215621,33621,"Visual",1182013,1184216,2203,"X","Visual D12 0 2","multi","D12 1","Visual 7","Visual multi D12 1182000 1215621",34287,0,NA,NA,0,0,NA
507,"D12_TT_Coded.eaf","D12","Visual",0,3,1,6,FALSE,1217053,1231013,"Ga0 Tu3 Ta1 {*6* 4 1} Ch6",1230110,2,"Director",1,"T1",1218418,1225229,6811,"Visual",1218418,1225229,6811,"X","Visual D12 0 3","multi","D12 2","Visual 1","Visual multi D12 1218418 1225229",12595,0,NA,NA,0,0,NA
508,"D12_TT_Coded.eaf","D12","Visual",0,4,5,5,TRUE,1230110,1291126,"Ga0 Tu4 Ta5 {7 *5* 6} Ch5",1292922,1,"Director",1,"T1",1250384,1285810,35426,"Visual",1250397,1252208,1811,"X","Visual D12 0 4","multi","D12 1","Visual 5","Visual multi D12 1250384 1285810",40742,0,0,NA,0,0,0
515,"D12_TT_Coded.eaf","D12","Visual",0,5,4,4,TRUE,1292922,1306610,"Ga0 Tu5 Ta4 {*4* 7 1} Ch4",1307765,2,"Director",1,"T1",1293228,1294026,798,"Visual",1293228,1294026,798,"X","Visual D12 0 5","multi","D12 2","Visual 4","Visual multi D12 1293228 1294026",13382,0,0,0,0,0,0
519,"D12_TT_Coded.eaf","D12","Visual",0,6,3,3,TRUE,1307765,1333652,"Ga0 Tu6 Ta3 {4 5 *3*} Ch3",1334360,1,"Director",1,"T1",1308215,1315620,7405,"Visual",1308215,1315620,7405,"X","Visual D12 0 6","multi","D12 1","Visual 3","Visual multi D12 1308215 1315620",25437,0,0,0,0,0,0
522,"D12_TT_Coded.eaf","D12","Visual",0,7,8,8,TRUE,1334360,1345712,"Ga0 Tu7 Ta8 {5 *8* 3} Ch8",1346979,2,"Director",1,"T1",1337418,1345431,8013,"Visual",1337418,1345431,8013,"X","Visual D12 0 7","multi","D12 2","Visual 8","Visual multi D12 1337418 1345431",8294,0,NA,NA,0,0,NA
523,"D12_TT_Coded.eaf","D12","Visual",0,8,6,6,TRUE,1346979,1354843,"Ga0 Tu8 Ta6 {2 *6* 8} Ch6",1355656,1,"Director",1,"T1",1349823,1354215,4392,"Visual",1349823,1354215,4392,"X","Visual D12 0 8","multi","D12 1","Visual 6","Visual multi D12 1349823 1354215",5020,0,NA,NA,0,0,NA
524,"D12_TT_Coded.eaf","D12","Visual",0,9,2,2,TRUE,1355656,1359807,"Ga0 Tu9 Ta2 {*2* 1 4} Ch2",1361227,2,"Director",1,"T1",1356026,1358837,2811,"Visual",1356026,1358837,2811,"X","Visual D12 0 9","multi","D12 2","Visual 2","Visual multi D12 1356026 1358837",3781,0,NA,NA,0,0,NA
525,"D12_TT_Coded.eaf","D12","Visual",0,10,4,4,TRUE,1361227,1371603,"Ga0 Tu10 Ta4 {6 5 *4*} Ch4",1372992,1,"Director",1,"T1",1364378,1371216,6838,"Visual",1364378,1371216,6838,"X","Visual D12 0 10","multi","D12 1","Visual 4","Visual multi D12 1364378 1371216",7225,0,NA,NA,0,0,NA
526,"D12_TT_Coded.eaf","D12","Visual",0,11,7,7,TRUE,1372992,1382111,"Ga0 Tu11 Ta7 {8 *7* 3} Ch7",1382466,2,"Director",1,"T1",1375229,1381229,6000,"Visual",1375229,1381229,6000,"X","Visual D12 0 11","multi","D12 2","Visual 7","Visual multi D12 1375229 1381229",6882,0,NA,NA,0,0,NA
527,"D12_TT_Coded.eaf","D12","Visual",0,12,8,8,TRUE,1382466,1390366,"Ga0 Tu12 Ta8 {1 *8* 6} Ch8",1390087,1,"Director",1,"T1",1385215,1389026,3811,"Visual",1385215,1389026,3811,"X","Visual D12 0 12","multi","D12 1","Visual 8","Visual multi D12 1385215 1389026",5151,0,NA,NA,0,0,NA
528,"D12_TT_Coded.eaf","D12","Visual",0,13,6,6,TRUE,1390087,1394134,"Ga0 Tu13 Ta6 {*6* 7 8} Ch6",1394610,2,"Director",1,"T1",1391620,1393418,1798,"Visual",1391620,1393418,1798,"X","Visual D12 0 13","multi","D12 2","Visual 6","Visual multi D12 1391620 1393418",2514,0,NA,NA,0,0,NA
529,"D12_TT_Coded.eaf","D12","Visual",0,14,1,7,FALSE,1394610,1400834,"Ga0 Tu14 Ta1 {1 *7* 2} Ch7",1401318,1,"Director",1,"T1",1395418,1400026,4608,"Visual",1395417,1396823,1406,"X","Visual D12 0 14","multi","D12 1","Visual 1","Visual multi D12 1395418 1400026",5416,0,NA,NA,0,0,NA
